node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
94,Chaghcharan,Ghor,532,1399,8,0.1691865344707456,0.19226904806395187,TRUE
212,Puli Alam,Logar,935,1748,8,0.0755477042911992,0.1508915194244161,TRUE
211,Muhammad Agha,Logar,476,598,9,0.128870063921116,0.13103609607945405,TRUE
163,Shah Wali Kot,Kandahar,751,2353,9,0.067352769610430685,0.10805064038884941,TRUE
318,Nirkh,Wardak,302,668,7,0.14167035954395335,0.09139404269589844,TRUE
262,Gardez,Paktya,730,984,7,0.049409665614941534,0.07704894988856441,TRUE
86,Jaghatu,Ghazni,538,1667,7,0.061327874411085996,0.07048101299095313,TRUE
92,Qarabagh,Ghazni,582,1927,7,0.04521315503324478,0.05621079757292333,TRUE
270,Zurmat,Paktya,418,970,10,0.058628312600809335,0.05234987219232693,TRUE
108,Nahri Sarraj,Hilmand,1727,3752,7,0.012912503026597839,0.047635938186283006,TRUE
52,Day Kundi,Daykundi,112,191,8,0.1789147044067427,0.04280514840403584,TRUE
207,Qarghayi,Laghman,161,163,8,0.11517968137806635,0.03961263187181661,TRUE
284,Dara-i-Suf,Samangan,154,598,10,0.11824271325999583,0.038897980717475016,TRUE
21,Andarab,Baghlan,192,535,7,0.09217722216077741,0.03780565736678481,TRUE
230,Sherzad,Nangarhar,292,1286,6,0.06060514099773713,0.037802825933814434,TRUE
201,Kunduz,Kunduz,915,3232,6,0.01924164202803433,0.03760929339654579,TRUE
58,Bala Buluk,Farah,503,2006,7,0.03464327594063567,0.037223644107061964,TRUE
128,Shindand,Hirat,601,1681,7,0.02708851468395334,0.034776959823674694,TRUE
319,Sayid Abad,Wardak,745,1004,7,0.021705971126686804,0.03454358781391529,TRUE
203,Alingar,Laghman,238,656,8,0.06281008402793002,0.03193289409121582,TRUE
59,Farah City,Farah,770,2574,7,0.01814229488432499,0.029841104670420858,TRUE
220,Hisarak,Nangarhar,153,614,6,0.08969023045465907,0.029313556971050016,TRUE
312,Chak,Wardak,295,426,5,0.04648753056625432,0.029294793570671974,TRUE
291,Sar-i-Pul City,Sari Pul,265,975,8,0.05168532260591166,0.029258028219219905,TRUE
221,Jalal abad,Nangarhar,1176,2437,5,0.011479079285445514,0.028836750935799807,TRUE
152,Surobi,Kabul,208,211,10,0.059089698407629704,0.026254699836182168,TRUE
107,Nad Ali,Hilmand,1357,3279,8,0.008733651004274935,0.025316731192031757,TRUE
229,Rodat,Nangarhar,311,1864,9,0.03456141872485275,0.022960635270224728,TRUE
81,Andar,Ghazni,804,2812,6,0.013096359024022505,0.022492543559946128,TRUE
3,Fayzabad,Badakhshan,486,1164,7,0.02142901339443776,0.02224694569591887,TRUE
32,Tala Wa Barfak,Baghlan,76,258,8,0.13543427382224055,0.021987412536357605,TRUE
